Disease_Label,Symptom_Text
Viêm phổi,"đau đầu, ớn lạnh, sốt cao, cơ thể mệt lả"
Viêm phổi,"khó thở, khó chịu trong người, buồn nôn, chán ăn, thở dốc, mệt mỏi"
Viêm phổi,"cháu bị đau ngực, sốt, đau đầu, mệt mỏi, lừ đừ"
Viêm phổi,"ớn lạnh, cơ thể mệt lả, tức ngực, lừ đừ, suy nhược, chán ăn"
Viêm phổi,"cháu bị khó chịu trong người, ho dai dẳng, mệt mỏi, sốt, buồn nôn"
Viêm phổi,"sốt, khó chịu trong người, chán ăn, sốt cao"
Viêm phổi,"sốt cao, chán ăn, lừ đừ"
Viêm phổi,"có triệu chứng ớn lạnh, tức ngực, chán ăn, lừ đừ"
Viêm phổi,"hay bị đau đầu, ho có đờm, khó chịu trong người, đau ngực"
Viêm phổi,"mình đang ớn lạnh, lừ đừ, thở dốc, cơ thể mệt lả, mệt mỏi"
Viêm phổi,"tức ngực, mệt mỏi, mất ngủ, khó thở, khó chịu trong người"
Viêm phổi,"khó thở, khó chịu trong người, mất ngủ, đau ngực, ớn lạnh, suy nhược"
Viêm phổi,"mình đang ho ra máu, mất ngủ, suy nhược"
Viêm phổi,"cảm thấy đau đầu, ho ra máu, lừ đừ, ho dai dẳng"
Viêm phổi,"tôi bị buồn nôn, cơ thể mệt lả, chán ăn, mất ngủ, sốt"
Viêm phổi,"mấy hôm nay tôi bị lạnh run, chán ăn, mất ngủ, buồn nôn, cơ thể mệt lả"
Viêm phổi,"cháu bị mệt mỏi, buồn nôn, ớn lạnh, ho dai dẳng, lừ đừ"
Viêm phổi,"mấy hôm nay tôi bị đau đầu, chán ăn, sốt, ho ra máu"
Viêm phổi,"buồn nôn, mất ngủ, lạnh run"
Viêm phổi,"mất ngủ, đau đầu, khó chịu trong người, lạnh run, buồn nôn"
Viêm phổi,"ho ra máu, mất ngủ, lừ đừ, sốt, cơ thể mệt lả"
Viêm phổi,"tự nhiên bị đau ngực, đau đầu, sốt"
Viêm phổi,"có triệu chứng mất ngủ, cơ thể mệt lả, ho dai dẳng, buồn nôn"
Viêm phổi,"mệt mỏi, ho ra máu, sốt"
Viêm phổi,"lừ đừ, thở dốc, ớn lạnh, chán ăn, đau đầu"
Viêm phổi,"sốt cao, ớn lạnh, buồn nôn, mất ngủ, chán ăn"
Viêm phổi,"có triệu chứng thở dốc, ớn lạnh, lừ đừ, suy nhược, buồn nôn"
Viêm phổi,"mình đang khó chịu trong người, suy nhược, chán ăn, mệt mỏi, đau ngực"
Viêm phổi,"cháu bị sốt cao, khó chịu trong người, ớn lạnh, sốt"
Viêm phổi,"lừ đừ, sốt, sốt cao, suy nhược"
Viêm phổi,"lừ đừ, mệt mỏi, mất ngủ, đau ngực, tức ngực, suy nhược"
Viêm phổi,"sốt, chán ăn, lừ đừ, thở dốc, đau ngực"
Viêm phổi,"mất ngủ, lừ đừ, thở dốc, sốt, khó chịu trong người, lạnh run"
Viêm phổi,"mấy hôm nay tôi bị ho có đờm, đau đầu, chán ăn"
Viêm phổi,"chán ăn, khó chịu trong người, buồn nôn, đau ngực, lừ đừ"
Viêm phổi,"có triệu chứng ho có đờm, chán ăn, ớn lạnh"
Viêm phổi,"bác sĩ ơi tôi bị ớn lạnh, sốt cao, khó chịu trong người"
Viêm phổi,"cháu bị chán ăn, suy nhược, ho có đờm, mất ngủ"
Viêm phổi,"ớn lạnh, lừ đừ, ho ra máu, mất ngủ, ho dai dẳng, khó chịu trong người"
Viêm phổi,"thở dốc, sốt cao, mệt mỏi, ớn lạnh"
Viêm phổi,"mệt mỏi, thở dốc, mất ngủ"
Viêm phổi,"cảm thấy buồn nôn, mệt mỏi, sốt, lạnh run, cơ thể mệt lả"
Viêm phổi,"mệt mỏi, buồn nôn, ho dai dẳng, đau ngực, khó chịu trong người, ớn lạnh"
Viêm phổi,"mất ngủ, ho có đờm, buồn nôn, khó chịu trong người, lạnh run"
Viêm phổi,"tôi bị sốt, tức ngực, buồn nôn, ớn lạnh, khó chịu trong người, ho có đờm"
Viêm phổi,"sốt, đau ngực, khó chịu trong người"
Viêm phổi,"tôi bị đau ngực, ớn lạnh, đau đầu, lừ đừ, sốt cao, chán ăn"
Viêm phổi,"cháu bị đau ngực, ớn lạnh, tức ngực, mất ngủ, sốt"
Viêm phổi,"mình đang ớn lạnh, suy nhược, đau đầu, đau ngực, ho có đờm"
Viêm phổi,"hay bị khó chịu trong người, lừ đừ, lạnh run, mệt mỏi, mất ngủ"
Viêm phổi,"tôi bị tức ngực, lừ đừ, buồn nôn, ớn lạnh, khó thở"
Viêm phổi,"tự nhiên bị khó chịu trong người, đau đầu, mất ngủ, mệt mỏi, đau ngực"
Viêm phổi,"suy nhược, lừ đừ, ớn lạnh, khó chịu trong người, lạnh run, tức ngực"
Viêm phổi,"mệt mỏi, đau đầu, lạnh run"
Viêm phổi,"suy nhược, thở dốc, khó chịu trong người, mệt mỏi, ớn lạnh"
Viêm phổi,"dấu hiệu ho có đờm, lừ đừ, sốt"
Viêm phổi,"sốt, đau đầu, ho có đờm, buồn nôn, chán ăn"
Viêm phổi,"tức ngực, ho ra máu, chán ăn, khó chịu trong người, đau đầu"
Viêm phổi,"mệt mỏi, buồn nôn, đau đầu, cơ thể mệt lả"
Viêm phổi,"ho dai dẳng, mất ngủ, buồn nôn, lừ đừ"
Viêm phổi,"mình đang thở dốc, khó chịu trong người, lừ đừ, buồn nôn"
Viêm phổi,"cảm thấy sốt cao, sốt, lừ đừ"
Viêm phổi,"cháu bị thở dốc, khó chịu trong người, buồn nôn, suy nhược, mất ngủ"
Viêm phổi,"chán ăn, mất ngủ, cơ thể mệt lả, thở dốc, suy nhược"
Viêm phổi,"bác sĩ ơi tôi bị chán ăn, ớn lạnh, suy nhược, ho có đờm, lừ đừ, lạnh run"
Viêm phổi,"lừ đừ, ho ra máu, sốt, buồn nôn, ho có đờm"
Viêm phổi,"lạnh run, chán ăn, đau đầu, đau ngực, khó chịu trong người"
Viêm phổi,"có triệu chứng ớn lạnh, đau đầu, ho có đờm, ho ra máu, lừ đừ"
Viêm phổi,"tôi bị thở dốc, khó chịu trong người, mệt mỏi"
Viêm phổi,"có triệu chứng mất ngủ, tức ngực, lừ đừ, suy nhược"
Viêm phổi,"tức ngực, lạnh run, đau đầu, khó chịu trong người, sốt"
Viêm phổi,"mình đang đau ngực, ho dai dẳng, khó chịu trong người, sốt, mệt mỏi, buồn nôn"
Viêm phổi,"mấy hôm nay tôi bị buồn nôn, lừ đừ, cơ thể mệt lả, mất ngủ, tức ngực"
Viêm phổi,"mấy hôm nay tôi bị ớn lạnh, mất ngủ, ho có đờm, mệt mỏi, sốt, đau ngực"
Viêm phổi,"đau đầu, khó chịu trong người, sốt cao, suy nhược, lạnh run, mất ngủ"
Viêm phổi,"tôi bị sốt, lừ đừ, sốt cao, buồn nôn, khó thở"
Viêm phổi,"mình đang mệt mỏi, đau đầu, khó thở, khó chịu trong người, sốt"
Viêm phổi,"dấu hiệu chán ăn, mất ngủ, ớn lạnh, ho ra máu, đau đầu"
Viêm phổi,"tự nhiên bị buồn nôn, tức ngực, sốt, chán ăn, cơ thể mệt lả"
Viêm phổi,"cháu bị ho ra máu, cơ thể mệt lả, sốt, buồn nôn"
Viêm phổi,"buồn nôn, khó thở, lừ đừ, khó chịu trong người, ớn lạnh"
Viêm phổi,"mệt mỏi, lừ đừ, sốt cao"
Viêm phổi,"dấu hiệu ho có đờm, suy nhược, mệt mỏi, lạnh run, ớn lạnh"
Viêm phổi,"cơ thể mệt lả, buồn nôn, mất ngủ"
Viêm phổi,"ớn lạnh, ho có đờm, sốt, chán ăn"
Viêm phổi,"đau đầu, mệt mỏi, sốt cao, khó thở"
Viêm phổi,"sốt cao, lạnh run, buồn nôn, sốt"
Viêm phổi,"cảm thấy khó chịu trong người, suy nhược, tức ngực"
Viêm phổi,"mấy hôm nay tôi bị lừ đừ, khó thở, đau đầu, buồn nôn, cơ thể mệt lả"
Viêm phổi,"mệt mỏi, đau ngực, ho dai dẳng, buồn nôn"
Viêm phổi,"mấy hôm nay tôi bị buồn nôn, lạnh run, mất ngủ"
Viêm phổi,"mệt mỏi, ớn lạnh, sốt cao, thở dốc"
Viêm phổi,"bác sĩ ơi tôi bị khó chịu trong người, tức ngực, ớn lạnh, buồn nôn"
Viêm phổi,"hay bị lừ đừ, buồn nôn, thở dốc"
Viêm phổi,"cơ thể mệt lả, khó chịu trong người, ớn lạnh, thở dốc"
Viêm phổi,"khó chịu trong người, cơ thể mệt lả, buồn nôn, ớn lạnh, suy nhược"
Viêm phổi,"lừ đừ, đau đầu, sốt, buồn nôn, tức ngực, khó thở"
Viêm phổi,"mấy hôm nay tôi bị lừ đừ, sốt, sốt cao, đau đầu"
Viêm phổi,"mất ngủ, mệt mỏi, đau ngực"
Viêm phổi,"hay bị đau đầu, lạnh run, tức ngực, mệt mỏi"
Viêm phổi,"ho có đờm, sốt cao, ớn lạnh, mất ngủ, mệt mỏi, đau đầu"
Viêm phổi,"sốt, mất ngủ, đau đầu, ho ra máu"
Viêm phổi,"sốt cao, lừ đừ, đau đầu, cơ thể mệt lả, buồn nôn, mệt mỏi"
Viêm phổi,"tôi bị chán ăn, đau ngực, lừ đừ, ớn lạnh, khó thở"
Viêm phổi,"cháu bị ho có đờm, suy nhược, đau đầu, lừ đừ, ho ra máu"
Viêm phổi,"mất ngủ, ho ra máu, lừ đừ, mệt mỏi"
Viêm phổi,"mất ngủ, ho có đờm, buồn nôn, ho dai dẳng"
Viêm phổi,"tôi bị lừ đừ, thở dốc, đau đầu, cơ thể mệt lả, mất ngủ"
Viêm phổi,"cháu bị suy nhược, sốt, cơ thể mệt lả"
Viêm phổi,"mất ngủ, đau đầu, chán ăn, ho có đờm"
Viêm phổi,"hay bị thở dốc, chán ăn, tức ngực, suy nhược"
Viêm phổi,"thở dốc, lừ đừ, suy nhược, chán ăn"
Viêm phổi,"mình đang khó thở, sốt, đau đầu"
Viêm phổi,"cơ thể mệt lả, mất ngủ, sốt, đau đầu"
Viêm phổi,"dấu hiệu ớn lạnh, cơ thể mệt lả, mất ngủ, buồn nôn"
Viêm phổi,"lừ đừ, suy nhược, sốt, thở dốc"
Viêm phổi,"sốt, mất ngủ, suy nhược, buồn nôn, sốt cao"
Viêm phổi,"ho ra máu, chán ăn, sốt, mất ngủ"
Viêm phổi,"chán ăn, thở dốc, suy nhược, cơ thể mệt lả"
Viêm phổi,"cảm thấy đau đầu, lừ đừ, tức ngực, thở dốc"
Viêm phổi,"suy nhược, buồn nôn, ho ra máu, đau đầu, lừ đừ, lạnh run"
Viêm phổi,"tức ngực, khó chịu trong người, mệt mỏi, ớn lạnh, thở dốc"
Viêm phổi,"bác sĩ ơi tôi bị sốt cao, mệt mỏi, ho có đờm, suy nhược"
Viêm phổi,"tự nhiên bị ho dai dẳng, chán ăn, buồn nôn"
Viêm phổi,"mất ngủ, lạnh run, ho dai dẳng, đau đầu, ớn lạnh"
Viêm phổi,"suy nhược, mệt mỏi, ho ra máu"
Viêm phổi,"dấu hiệu sốt cao, khó chịu trong người, buồn nôn"
Viêm phổi,"đau đầu, suy nhược, mất ngủ, ớn lạnh, tức ngực, khó thở"
Viêm phổi,"khó chịu trong người, mất ngủ, lạnh run"
Viêm phổi,"tôi bị buồn nôn, lừ đừ, khó thở, ho dai dẳng"
Viêm phổi,"sốt, lừ đừ, lạnh run, khó chịu trong người, mất ngủ"
Viêm phổi,"đau đầu, suy nhược, lừ đừ, cơ thể mệt lả, ớn lạnh"
Viêm phổi,"tự nhiên bị thở dốc, mệt mỏi, sốt"
Viêm phổi,"có triệu chứng buồn nôn, ho ra máu, chán ăn"
Viêm phổi,"có triệu chứng sốt, chán ăn, lừ đừ, ho dai dẳng, buồn nôn"
Viêm phổi,"sốt, khó thở, lừ đừ, ớn lạnh, ho có đờm, buồn nôn"
Viêm phổi,"lạnh run, đau đầu, thở dốc, mất ngủ"
Viêm phổi,"dấu hiệu đau ngực, lừ đừ, chán ăn, ho dai dẳng"
Viêm phổi,"đau đầu, sốt, ho dai dẳng, suy nhược, chán ăn"
Viêm phổi,"có triệu chứng ho dai dẳng, ớn lạnh, buồn nôn, đau đầu, thở dốc"
Viêm phổi,"tôi bị chán ăn, thở dốc, mệt mỏi, buồn nôn"
Viêm phổi,"mất ngủ, ho có đờm, thở dốc, khó chịu trong người, đau đầu, ớn lạnh"
Viêm phổi,"có triệu chứng mất ngủ, buồn nôn, tức ngực, sốt, lừ đừ"
Viêm phổi,"hay bị đau đầu, ho dai dẳng, lừ đừ, cơ thể mệt lả"
Viêm phổi,"cảm thấy ớn lạnh, buồn nôn, tức ngực, ho dai dẳng"
Viêm phổi,"đau ngực, mất ngủ, sốt, lừ đừ, lạnh run"
Viêm phổi,"dấu hiệu ớn lạnh, khó chịu trong người, mệt mỏi, thở dốc"
Viêm phổi,"ớn lạnh, ho dai dẳng, mất ngủ, suy nhược"
Viêm phổi,"chán ăn, mất ngủ, sốt cao, ớn lạnh, sốt, đau ngực"
Viêm phổi,"cảm thấy ho có đờm, buồn nôn, tức ngực, khó chịu trong người"
Viêm phổi,"hay bị mệt mỏi, thở dốc, mất ngủ, sốt cao"
Viêm phổi,"bác sĩ ơi tôi bị lừ đừ, mệt mỏi, đau đầu, mất ngủ, cơ thể mệt lả"
Viêm phổi,"cháu bị tức ngực, lừ đừ, sốt, khó chịu trong người"
Viêm phổi,"có triệu chứng ớn lạnh, đau đầu, ho ra máu, ho có đờm, mệt mỏi"
Viêm phổi,"mệt mỏi, tức ngực, chán ăn, sốt"
Viêm phổi,"tự nhiên bị sốt, mất ngủ, sốt cao"
Viêm phổi,"hay bị sốt, chán ăn, đau ngực"
Viêm phổi,"mất ngủ, suy nhược, khó chịu trong người, tức ngực, buồn nôn"
Viêm phổi,"hay bị cơ thể mệt lả, đau đầu, mệt mỏi, mất ngủ"
Viêm phổi,"tôi bị đau ngực, khó chịu trong người, ớn lạnh, lừ đừ, khó thở"
Viêm phổi,"ho ra máu, mệt mỏi, sốt, chán ăn, khó thở, mất ngủ"
Viêm phổi,"ớn lạnh, suy nhược, ho có đờm, ho dai dẳng, đau đầu"
Viêm phổi,"ho dai dẳng, đau đầu, lừ đừ, khó thở, sốt"
Viêm phổi,"buồn nôn, thở dốc, suy nhược, mệt mỏi, ho dai dẳng"
Viêm phổi,"có triệu chứng sốt, khó thở, mất ngủ, khó chịu trong người"
Viêm phổi,"sốt, sốt cao, buồn nôn, chán ăn, đau đầu"
Viêm phổi,"cháu bị ho ra máu, ớn lạnh, sốt"
Viêm phổi,"tôi bị mất ngủ, chán ăn, lạnh run"
Viêm phổi,"cảm thấy suy nhược, mệt mỏi, khó chịu trong người, cơ thể mệt lả, mất ngủ, tức ngực"
Viêm phổi,"đau ngực, thở dốc, sốt, suy nhược"
Viêm phổi,"ho ra máu, buồn nôn, đau đầu"
Viêm phổi,"có triệu chứng buồn nôn, thở dốc, mệt mỏi, đau đầu, chán ăn"
Viêm phổi,"mình đang khó thở, buồn nôn, lừ đừ"
Viêm phổi,"mất ngủ, sốt, suy nhược, khó thở"
Viêm phổi,"bác sĩ ơi tôi bị đau đầu, mệt mỏi, lạnh run"
Viêm phổi,"mất ngủ, đau ngực, suy nhược, tức ngực"
Viêm phổi,"suy nhược, sốt, ớn lạnh, ho có đờm"
Viêm phổi,"lừ đừ, thở dốc, khó chịu trong người, buồn nôn, ớn lạnh, khó thở"
Viêm phổi,"buồn nôn, ho có đờm, mệt mỏi, khó chịu trong người"
Viêm phổi,"bác sĩ ơi tôi bị mệt mỏi, ho ra máu, tức ngực, khó chịu trong người, suy nhược"
Viêm phổi,"suy nhược, sốt cao, chán ăn, buồn nôn, lừ đừ"
Viêm phổi,"suy nhược, đau ngực, ho có đờm, mất ngủ, buồn nôn, lừ đừ"
Viêm phổi,"cơ thể mệt lả, buồn nôn, đau đầu, mất ngủ"
Viêm phổi,"tự nhiên bị đau đầu, mất ngủ, lừ đừ, ho dai dẳng"
Viêm phổi,"sốt, khó chịu trong người, mệt mỏi, ớn lạnh, tức ngực, lạnh run"
Viêm phổi,"khó thở, đau đầu, sốt, ớn lạnh, mệt mỏi"
Viêm phổi,"buồn nôn, ho ra máu, cơ thể mệt lả, mệt mỏi, lừ đừ, khó chịu trong người"
Viêm phổi,"ho có đờm, mất ngủ, đau đầu, khó chịu trong người, suy nhược"
Viêm phổi,"bác sĩ ơi tôi bị khó thở, ớn lạnh, ho dai dẳng, buồn nôn"
Viêm phổi,"buồn nôn, ho dai dẳng, suy nhược, mất ngủ"
Viêm phổi,"cảm thấy lừ đừ, suy nhược, ho ra máu"
Viêm phổi,"sốt cao, chán ăn, ớn lạnh, suy nhược, buồn nôn"
Viêm phổi,"tự nhiên bị khó chịu trong người, ho ra máu, ho dai dẳng, chán ăn"
Viêm phổi,"tức ngực, cơ thể mệt lả, chán ăn, lừ đừ"
Viêm phổi,"dấu hiệu đau đầu, ớn lạnh, mệt mỏi, khó thở, tức ngực"
Viêm phổi,"suy nhược, khó chịu trong người, lạnh run, mất ngủ, ho có đờm"
Viêm phổi,"sốt cao, đau đầu, ho ra máu, suy nhược"
Viêm phổi,"ớn lạnh, tức ngực, đau đầu, suy nhược, lạnh run, mệt mỏi"
Viêm phổi,"suy nhược, khó chịu trong người, ớn lạnh, lạnh run"
Viêm phổi,"thở dốc, buồn nôn, khó chịu trong người"
Viêm phổi,"cảm thấy lừ đừ, mất ngủ, cơ thể mệt lả, mệt mỏi, khó chịu trong người, tức ngực"
Viêm phổi,"hay bị suy nhược, khó chịu trong người, sốt, lừ đừ, ho dai dẳng"
Viêm phổi,"cảm thấy ho ra máu, mất ngủ, buồn nôn, đau ngực, khó chịu trong người, chán ăn"
Viêm phổi,"mình đang lừ đừ, khó chịu trong người, ho có đờm, sốt, chán ăn"
Viêm phổi,"lừ đừ, ho dai dẳng, ớn lạnh"
Viêm phổi,"suy nhược, lạnh run, ớn lạnh, chán ăn, đau đầu"
Viêm phổi,"sốt, ớn lạnh, khó chịu trong người, sốt cao"
Viêm phổi,"thở dốc, mệt mỏi, khó chịu trong người"
Viêm phổi,"cháu bị sốt cao, đau đầu, chán ăn"
Viêm phổi,"mất ngủ, cơ thể mệt lả, buồn nôn, lừ đừ, chán ăn, ho có đờm"
Viêm phổi,"chán ăn, khó chịu trong người, lạnh run"
Viêm phổi,"dấu hiệu khó thở, mệt mỏi, buồn nôn"
Viêm phổi,"mấy hôm nay tôi bị buồn nôn, đau đầu, ớn lạnh, sốt, sốt cao"
Viêm phổi,"buồn nôn, cơ thể mệt lả, chán ăn, sốt, khó chịu trong người"
Viêm phổi,"tự nhiên bị lừ đừ, lạnh run, buồn nôn, đau đầu, chán ăn"
Viêm phổi,"khó chịu trong người, đau đầu, tức ngực, suy nhược"
Viêm phổi,"cháu bị sốt, tức ngực, ớn lạnh, suy nhược, khó chịu trong người"
Viêm phổi,"mấy hôm nay tôi bị mất ngủ, buồn nôn, lừ đừ, sốt cao, cơ thể mệt lả, mệt mỏi"
Viêm phổi,"mình đang sốt, ho có đờm, cơ thể mệt lả, ớn lạnh, đau đầu, suy nhược"
Viêm phổi,"mình đang ho ra máu, suy nhược, ho có đờm, ớn lạnh, chán ăn, đau đầu"
Viêm phổi,"mệt mỏi, ho dai dẳng, tức ngực, mất ngủ"
Viêm phổi,"mấy hôm nay tôi bị ho ra máu, thở dốc, khó chịu trong người, ớn lạnh"
Viêm phổi,"hay bị đau ngực, đau đầu, sốt cao, chán ăn"
Viêm phổi,"mất ngủ, lừ đừ, đau ngực, đau đầu, buồn nôn"
Viêm phổi,"ho có đờm, sốt cao, suy nhược, mất ngủ, lừ đừ"
Viêm phổi,"mấy hôm nay tôi bị buồn nôn, mất ngủ, thở dốc, ho ra máu"
Viêm phổi,"khó thở, đau đầu, lừ đừ, mệt mỏi, suy nhược, ho dai dẳng"
Viêm phổi,"có triệu chứng mệt mỏi, chán ăn, buồn nôn, ho dai dẳng"
Viêm phổi,"dấu hiệu đau ngực, ớn lạnh, đau đầu, ho dai dẳng"
Viêm phổi,"buồn nôn, mất ngủ, ớn lạnh, đau đầu, khó thở"
Viêm phổi,"cảm thấy khó chịu trong người, thở dốc, đau đầu, ho ra máu, suy nhược"
Viêm phổi,"cháu bị thở dốc, buồn nôn, khó chịu trong người, sốt"
Viêm phổi,"mất ngủ, chán ăn, lạnh run, ho có đờm, khó chịu trong người"
Viêm phổi,"mình đang lừ đừ, sốt, suy nhược, ớn lạnh, lạnh run"
Viêm phổi,"dấu hiệu ho có đờm, khó chịu trong người, mất ngủ, lừ đừ"
Viêm phổi,"đau ngực, lừ đừ, mất ngủ, buồn nôn, mệt mỏi, sốt cao"
Viêm phổi,"lừ đừ, đau đầu, thở dốc, mệt mỏi, ho có đờm, khó chịu trong người"
Viêm phổi,"tức ngực, ho ra máu, ớn lạnh, đau đầu"
Viêm phổi,"sốt, thở dốc, mất ngủ, ho dai dẳng"
Viêm phổi,"dấu hiệu chán ăn, mệt mỏi, thở dốc, buồn nôn, sốt cao"
Viêm phổi,"cháu bị đau đầu, mất ngủ, sốt cao, khó thở, lừ đừ"
Viêm phổi,"tự nhiên bị khó thở, mất ngủ, cơ thể mệt lả, đau đầu"
Viêm phổi,"đau đầu, sốt cao, chán ăn"
Viêm phổi,"khó chịu trong người, mệt mỏi, sốt, suy nhược, thở dốc"
Viêm phổi,"có triệu chứng chán ăn, đau đầu, ớn lạnh, suy nhược, đau ngực"
Viêm phổi,"chán ăn, ớn lạnh, tức ngực, đau đầu, mất ngủ"
Viêm phổi,"mấy hôm nay tôi bị tức ngực, đau đầu, mệt mỏi, ớn lạnh, cơ thể mệt lả"
Viêm phổi,"có triệu chứng suy nhược, đau đầu, mất ngủ, đau ngực"
Viêm phổi,"cơ thể mệt lả, mệt mỏi, suy nhược, khó chịu trong người, ớn lạnh, ho có đờm"
Viêm phổi,"mấy hôm nay tôi bị ớn lạnh, sốt, ho dai dẳng"
Viêm phổi,"mình đang ho có đờm, sốt, chán ăn, suy nhược"
Viêm phổi,"khó chịu trong người, buồn nôn, ho ra máu, cơ thể mệt lả, lừ đừ"
Viêm phổi,"mình đang ho ra máu, suy nhược, đau đầu, buồn nôn, chán ăn"
Viêm phổi,"mất ngủ, ớn lạnh, sốt, tức ngực, ho ra máu"
Viêm phổi,"hay bị chán ăn, ho có đờm, buồn nôn, đau đầu, suy nhược"
Viêm phổi,"cảm thấy lạnh run, mất ngủ, khó thở, sốt"
Viêm phổi,"đau đầu, đau ngực, lừ đừ, khó chịu trong người, thở dốc, suy nhược"
Viêm phổi,"cảm thấy ho có đờm, mất ngủ, khó chịu trong người"
Viêm phổi,"cảm thấy ớn lạnh, lừ đừ, lạnh run"
Viêm phổi,"ớn lạnh, đau đầu, buồn nôn, mệt mỏi, lạnh run"
Viêm phổi,"hay bị cơ thể mệt lả, lạnh run"
Viêm phổi,"suy nhược, chán ăn, lừ đừ, ho có đờm, mệt mỏi, khó thở"
Viêm phổi,"có triệu chứng ớn lạnh, chán ăn, suy nhược, mất ngủ, ho có đờm"
Viêm phổi,"chán ăn, suy nhược, khó chịu trong người, khó thở, ho có đờm"
Viêm phổi,"cảm thấy buồn nôn, lạnh run, đau đầu, lừ đừ"
Viêm phổi,"có triệu chứng mệt mỏi, buồn nôn, sốt cao, lạnh run, mất ngủ, suy nhược"
Viêm phổi,"lừ đừ, mệt mỏi, thở dốc, sốt, suy nhược, ho có đờm"
Viêm phổi,"cảm thấy buồn nôn, cơ thể mệt lả, mệt mỏi, mất ngủ, khó thở, lừ đừ"
Viêm phổi,"ho dai dẳng, sốt cao, sốt, mất ngủ, mệt mỏi"
Viêm phổi,"ớn lạnh, thở dốc, ho có đờm, đau đầu, sốt, buồn nôn"
Viêm phổi,"hay bị lừ đừ, tức ngực, ho ra máu, đau đầu"
Viêm phổi,"cháu bị mất ngủ, ớn lạnh, ho có đờm, sốt cao"
Viêm phổi,"cháu bị sốt, cơ thể mệt lả, ớn lạnh, khó thở"
Viêm phổi,"hay bị sốt, cơ thể mệt lả, đau ngực, mệt mỏi, ớn lạnh, chán ăn"
Viêm phổi,"khó chịu trong người, ho dai dẳng, đau ngực, ớn lạnh"
Viêm phổi,"buồn nôn, cơ thể mệt lả, ớn lạnh"
Viêm phổi,"khó thở, đau ngực, ớn lạnh, chán ăn, mất ngủ"
Viêm phổi,"khó chịu trong người, ớn lạnh, sốt, suy nhược, khó thở"
Viêm phổi,"tức ngực, mất ngủ, khó chịu trong người, buồn nôn, lừ đừ, đau ngực"
Viêm phổi,"mất ngủ, ho ra máu, mệt mỏi, chán ăn"
Viêm phổi,"đau đầu, cơ thể mệt lả, chán ăn, suy nhược"
